file,event,length,width,tracesum,tracemax,tracedev,padnum
273_800p.h5,51,13.800606169338879,1.105150230737645,150938.99609374994,16836.412899725063,3406.410860157359,23
273_800p.h5,52,13.752899103817091,1.5494244086448954,144677.92187500006,13547.219324285788,3040.040880188959,32
273_800p.h5,53,13.683496034530636,1.3208278186123148,148131.13671875,16571.152231180757,3343.61628793282,28
273_800p.h5,54,5.686686403060039,1.7841632057191885,151514.375,12087.971919329651,2815.424523776518,16
273_800p.h5,55,13.453675936093576,4.632890601558822,147839.20703125,23924.317906159537,4105.653126499702,27
273_800p.h5,56,13.730964445677397,3.4327311484461176,144831.3779296875,18765.51095065403,3518.6043034043046,18
273_800p.h5,57,13.626418511709993,1.2756159867873458,147959.078125,11221.110791710451,2661.6176948154284,18
273_800p.h5,58,13.559616130314506,4.447773918679831,153274.171875,16211.681026436436,3400.574650998431,22
273_800p.h5,59,13.534108959339605,5.259465923114965,152170.60546875,18909.739969813665,3603.6026168191324,30
273_800p.h5,60,13.661534824658652,5.4876682546406705,144671.13671875,20614.912632054587,3739.0386064548093,33
273_800p.h5,61,13.68015617330835,1.032485953922423,147152.88476562497,13321.810147873464,3022.0005202140446,23
273_800p.h5,62,13.648179300846268,6.537137779024634,146531.08593749997,22032.540037848405,3839.1614392366955,37
273_800p.h5,63,13.58803630773068,0.9341199814390938,148166.5703125,15760.653696387884,3257.9946210507187,29
273_800p.h5,64,13.615443164233247,5.6159878343825405,146504.26562499997,22162.01143683453,3928.3348355652956,34
273_800p.h5,65,13.790803819883278,7.930023398936885,145958.02734375,16655.18889096158,3450.4287686158564,42
273_800p.h5,66,13.621167058530586,3.4416995156816736,149014.5888671875,18337.059131012305,3629.8784860627966,19
273_800p.h5,67,13.754170673279688,0.7033746283304214,146339.6640625,16868.955553970787,3416.194960826501,26
273_800p.h5,68,13.499317911715845,7.178743651182841,140099.09375,12567.302126834293,2791.575723644109,30
273_800p.h5,69,13.807522905534992,4.806134748966272,153139.00000000003,14898.552508207475,3215.5547690511503,21
273_800p.h5,70,13.68421813777861,5.2959209301168935,142043.22265625,13921.411395355552,3015.5531437069253,25
273_800p.h5,71,13.642296124269686,6.713400923061673,148179.61328125,14381.998500960935,3133.8711321090445,34
273_800p.h5,72,13.831070744485526,1.3781836605676279,154494.84375,13837.76535571903,3133.316166696822,27
273_800p.h5,73,13.48571701090174,2.8230115410828627,146160.734375,12110.392684102611,2834.6619354104923,22
273_800p.h5,74,13.716062081048483,3.2526092727498024,150215.8515625,22730.602143223547,3997.0593217170654,19
273_800p.h5,75,13.440478268222067,4.40887123697162,147787.8125,22859.956814785775,4017.003020129001,26
273_800p.h5,76,13.706728145728333,1.1517362869338026,147215.62499999997,20517.30948711547,3746.4136327741076,38
273_800p.h5,77,13.744096736841275,6.469816817322194,145370.2265625,12433.820856553513,2900.782554943415,29
273_800p.h5,78,13.549802926425603,8.005228521486677,143866.69531250003,12958.990642649915,2979.2547669931773,40
273_800p.h5,79,13.73825904024576,5.973519533658128,149953.1875,20385.245311498806,3753.1496522074617,35
273_800p.h5,80,13.573310776828396,0.421573253648173,148092.44531249997,21543.119768258402,3918.943247303078,26
273_800p.h5,81,13.541892585389938,6.4451987063894185,149311.16796875,11926.745969111387,2816.5343701625916,28
273_800p.h5,82,13.670965131988154,3.7868314494409843,149162.62890625006,22802.222308114306,3986.083953151896,23
273_800p.h5,83,13.409722232400135,6.481599504095043,145382.06640625,18216.78214013413,3503.8143306943703,37
273_800p.h5,84,13.469502492097781,6.0794810720722525,146068.56640625,18102.977308221976,3482.1691254191323,34
273_800p.h5,85,13.527562090688734,5.164461823280398,146031.75781250003,22542.955530670824,3975.509340513114,31
273_800p.h5,86,13.56947054644249,1.4215766713424531,146770.53125,13654.07179142563,3066.756770677181,32
273_800p.h5,87,13.75713607379324,1.6717186353841942,146321.240234375,13939.539190188432,3144.3150388763042,17
273_800p.h5,88,13.537117254823146,1.5574896692404783,154823.37304687506,13273.057614419648,3048.252694906028,20
273_800p.h5,89,13.599648929345099,3.8767615314411112,153610.12890625003,16692.604672312307,3427.4940222937294,20
273_800p.h5,90,13.684567776548585,6.690237837805266,150928.20312499997,21454.958136251644,3934.9669359889526,42
273_800p.h5,91,13.773109209632958,5.327222906242502,148894.466796875,13693.38539740936,3064.620096422265,26
273_800p.h5,92,13.669845034114356,4.230972365875891,152075.14843749997,24059.698023749206,4140.858773951041,26
273_800p.h5,93,13.450258320928764,6.05093396410534,151908.35937500003,11466.684468807593,2750.8819862566565,22
273_800p.h5,94,13.67327386430963,4.139343945936496,146659.73828125,15841.603630242229,3225.3737779654093,22
273_800p.h5,95,13.611850112000823,7.979436147173997,149214.60156250003,21258.562396821944,3799.4969340224484,50
273_800p.h5,96,13.601527669296738,1.197212471048647,146523.24609375,15576.32491971948,3281.991217588157,25
273_800p.h5,97,13.56550999410335,0.9939247848984709,146635.5078125,13780.95572412931,3028.937210823568,24
273_800p.h5,98,13.66429763499112,5.916962167277548,146885.91015624997,14871.512927535628,3104.4732711617094,30
273_800p.h5,99,13.573868126888526,4.715250460517569,144937.06640625,17134.581359820615,3450.84027835953,26
273_800p.h5,100,13.736258045849818,2.607355498826765,148043.01171875003,20926.55919735892,3919.2346848708594,22
273_800p.h5,101,13.570965490488028,3.4386764558398997,151715.69140625,22815.767874948342,3999.0894997195446,19
273_800p.h5,102,13.757444698529374,5.05486859750941,147201.05078125,18149.274589138702,3622.9758717983186,29
273_800p.h5,103,13.661647945091147,5.641112519114595,148355.65234375,15458.058869206046,3239.9937581319696,29
273_800p.h5,104,7.192873359075483,0.6538295540379212,145284.015625,19842.40360055292,3677.065338747116,44
273_800p.h5,105,13.560541754114455,7.552313679098517,144056.09375000003,17327.030342311813,3410.792521425302,44
273_800p.h5,106,13.649798239272284,5.776222314553847,147176.51953125,22627.97936810283,3942.293565260281,31
273_800p.h5,107,13.547227402238574,6.262255267682029,149592.62109375,13046.994374444655,3016.423877501669,29
273_800p.h5,108,13.468334013710864,5.770951637226944,148405.44531249997,22026.17050938009,3900.551792649723,35
273_800p.h5,109,13.558197234926041,3.623224145108433,151070.6015625,24114.3676220822,4113.980245268914,22
273_800p.h5,110,13.680958332594699,0.65726566139165,148154.03906249997,16919.791435359835,3472.0346631439515,25
273_800p.h5,111,13.843062897345861,0.34304882447940527,145979.26953124997,24414.588603303164,4093.8103463453226,19
